"RSG_Group","Texture_Group","MAT","MAP","mean_lp","lcl_lp","ucl_lp","mean_sigma"
"R2","T4",16,680,5.1812955248176,5.13193022466832,5.23147319005251,-0.429125242311246
"R2","T4",16,1500,5.06798091713931,5.0307799836361,5.10569967333345,-0.429125242311246
"R2","T4",16,2900,4.87451695281053,4.81306142371868,4.93736686221607,-0.429125242311246
"R2","T4",16,3200,4.83306038902579,4.76171284782171,4.90480715653967,-0.429125242311246
"R2","T4",23,680,4.66949446688473,4.63433505648041,4.70490268944709,-0.429125242311246
"R2","T4",23,1500,4.55617985920644,4.54149733249447,4.57070903870361,-0.429125242311246
"R2","T4",23,2900,4.36271589487766,4.31011720875983,4.41373994142145,-0.429125242311246
"R2","T4",23,3200,4.32125933109292,4.25737866170709,4.38368311249931,-0.429125242311246
"R2","T4",28,680,4.30392228264697,4.26281584609412,4.34574452474552,-0.429125242311246
"R2","T4",28,1500,4.19060767496868,4.16401516727624,4.21631815650848,-0.429125242311246
"R2","T4",28,2900,3.9971437106399,3.94073648891843,4.05277642740366,-0.429125242311246
"R2","T4",28,3200,3.95568714685516,3.8886129954222,4.02077128244861,-0.429125242311246
"R2","T4",32,680,4.01146453525676,3.95701331807567,4.06534696264378,-0.429125242311246
"R2","T4",32,1500,3.89814992757847,3.85410181782278,3.94116161326992,-0.429125242311246
"R2","T4",32,2900,3.70468596324969,3.63865434989393,3.77063446400015,-0.429125242311246
"R2","T4",32,3200,3.66322939946495,3.58862295306319,3.73721565112277,-0.429125242311246
"R3","T1",16,680,4.08308237179794,3.73255182179637,4.42803497263025,-0.429125242311246
"R3","T1",16,1500,3.96976776411966,3.62257408653072,4.31204831500447,-0.429125242311246
"R3","T1",16,2900,3.77630379979088,3.42719532688756,4.12584886535162,-0.429125242311246
"R3","T1",16,3200,3.73484723600614,3.38108934848219,4.0887551618421,-0.429125242311246
"R3","T1",23,680,3.57128131386507,3.22212399336133,3.91736564183069,-0.429125242311246
"R3","T1",23,1500,3.45796670618679,3.11458926885562,3.80164260174419,-0.429125242311246
"R3","T1",23,2900,3.26450274185801,2.9168313006307,3.61474195518276,-0.429125242311246
"R3","T1",23,3200,3.22304617807327,2.87286279059307,3.57556591464055,-0.429125242311246
"R3","T1",28,680,3.20570912962731,2.85719079773499,3.5559603680452,-0.429125242311246
"R3","T1",28,1500,3.09239452194903,2.7476684823072,3.44103879110821,-0.429125242311246
"R3","T1",28,2900,2.89893055762024,2.55083525513727,3.25275435284064,-0.429125242311246
"R3","T1",28,3200,2.85747399383551,2.5061114672635,3.21433636025391,-0.429125242311246
"R3","T1",32,680,2.9132513822371,2.56248393602304,3.26778282475703,-0.429125242311246
"R3","T1",32,1500,2.79993677455881,2.45117314886932,3.15353566581322,-0.429125242311246
"R3","T1",32,2900,2.60647281023003,2.25317076189574,2.96343005362767,-0.429125242311246
"R3","T1",32,3200,2.56501624644529,2.21120770323887,2.92442458190298,-0.429125242311246
"R3","T2",16,680,4.76039725777454,4.6457625968917,4.87597704625708,-0.429125242311246
"R3","T2",16,1500,4.64708265009626,4.53851974066581,4.75654499333674,-0.429125242311246
"R3","T2",16,2900,4.45361868576747,4.33350833303909,4.57558230029228,-0.429125242311246
"R3","T2",16,3200,4.41216212198274,4.28719448224909,4.54000311389776,-0.429125242311246
"R3","T2",23,680,4.24859619984167,4.13545570257747,4.36138423953257,-0.429125242311246
"R3","T2",23,1500,4.13528159216339,4.02715274061596,4.24293540521561,-0.429125242311246
"R3","T2",23,2900,3.94181762783461,3.82066584176197,4.061312525349,-0.429125242311246
"R3","T2",23,3200,3.90036106404987,3.7747575885472,4.02577977161153,-0.429125242311246
"R3","T2",28,680,3.88302401560391,3.76373923616061,4.00174588992817,-0.429125242311246
"R3","T2",28,1500,3.76970940792562,3.65470490102563,3.88227575385004,-0.429125242311246
"R3","T2",28,2900,3.57624544359684,3.45271659736047,3.70054208795891,-0.429125242311246
"R3","T2",28,3200,3.5347888798121,3.40495250441295,3.66381488816314,-0.429125242311246
"R3","T2",32,680,3.5905662682137,3.46338049779323,3.71510813137089,-0.429125242311246
"R3","T2",32,1500,3.47725166053541,3.3549786377317,3.59683078836695,-0.429125242311246
"R3","T2",32,2900,3.28378769620663,3.15254717794093,3.41603076142777,-0.429125242311246
"R3","T2",32,3200,3.24233113242189,3.10574057460457,3.37975137466117,-0.429125242311246
"R3","T3",16,680,4.97681074650631,4.8199288032241,5.13341637558357,-0.429125242311246
"R3","T3",16,1500,4.86349613882802,4.71326122045802,5.01661303909429,-0.429125242311246
"R3","T3",16,2900,4.67003217449924,4.5111843600394,4.8306004482584,-0.429125242311246
"R3","T3",16,3200,4.6285756107145,4.46517028334938,4.79301155409324,-0.429125242311246
"R3","T3",23,680,4.46500968857344,4.30747404501674,4.62083292302614,-0.429125242311246
"R3","T3",23,1500,4.35169508089515,4.19757386563074,4.50514049991619,-0.429125242311246
"R3","T3",23,2900,4.15823111656637,3.99813069639947,4.31988533576733,-0.429125242311246
"R3","T3",23,3200,4.11677455278163,3.95355845655982,4.28081859140379,-0.429125242311246
"R3","T3",28,680,4.09943750433567,3.93506478091813,4.26030215077877,-0.429125242311246
"R3","T3",28,1500,3.98612289665739,3.82935708371318,4.14497616420432,-0.429125242311246
"R3","T3",28,2900,3.79265893232861,3.62877371764788,3.95865487746667,-0.429125242311246
"R3","T3",28,3200,3.75120236854387,3.5840784868674,3.91830761871102,-0.429125242311246
"R3","T3",32,680,3.80697975694546,3.63722784713505,3.97322849476426,-0.429125242311246
"R3","T3",32,1500,3.69366514926718,3.53129019860878,3.85832141987216,-0.429125242311246
"R3","T3",32,2900,3.5002011849384,3.33228872919163,3.672482530021,-0.429125242311246
"R3","T3",32,3200,3.45874462115366,3.28712370662657,3.63393055560548,-0.429125242311246
"R3","T4",16,680,4.92333048970457,4.83123719818904,5.01651351878012,-0.429125242311246
"R3","T4",16,1500,4.81001588202629,4.72488695181772,4.89564200281227,-0.429125242311246
"R3","T4",16,2900,4.61655191769751,4.51976243072439,4.7128360586897,-0.429125242311246
"R3","T4",16,3200,4.57509535391277,4.47265620469777,4.6766007618706,-0.429125242311246
"R3","T4",23,680,4.41152943177171,4.31829683407944,4.50735140741871,-0.429125242311246
"R3","T4",23,1500,4.29821482409342,4.21123458049637,4.38715576659485,-0.429125242311246
"R3","T4",23,2900,4.10475085976464,4.00670637849842,4.20288609300487,-0.429125242311246
"R3","T4",23,3200,4.0632942959799,3.95994275903237,4.1671359478002,-0.429125242311246
"R3","T4",28,680,4.04595724753394,3.94433085554275,4.14845041846986,-0.429125242311246
"R3","T4",28,1500,3.93264263985566,3.8379622930735,4.0294410276562,-0.429125242311246
"R3","T4",28,2900,3.73917867552687,3.63338553732374,3.84403751800662,-0.429125242311246
"R3","T4",28,3200,3.69772211174214,3.58686928285316,3.80782578615879,-0.429125242311246
"R3","T4",32,680,3.75349950014373,3.64284695398403,3.86515414280589,-0.429125242311246
"R3","T4",32,1500,3.64018489246544,3.53634659973675,3.74660809479534,-0.429125242311246
"R3","T4",32,2900,3.44672092813666,3.3325271567278,3.56085815455249,-0.429125242311246
"R3","T4",32,3200,3.40526436435192,3.2856574783778,3.52428602105524,-0.429125242311246
