"RSG_Group","Texture_Group","MAT","MAP","mean_lp","lcl_lp","ucl_lp","mean_sigma"
"R1","T3",32,1500,-4.54799744995746,-4.64474958405591,-4.45208994938742,-0.868740218811371
"R1","T3",32,2900,-3.995626048133,-4.0955278932659,-3.89614640036314,-0.868740218811371
"R1","T3",32,3200,-3.87726074774204,-3.97857939350666,-3.77577596392535,-0.868740218811371
"R1","T4",16,680,-4.16242190419838,-4.23728298497678,-4.08839403569797,-0.868740218811371
"R1","T4",16,1500,-3.83889008312977,-3.91114676347762,-3.76878698468315,-0.868740218811371
"R1","T4",16,2900,-3.28651868130531,-3.36315534754118,-3.21132899650087,-0.868740218811371
"R1","T4",16,3200,-3.16815338091435,-3.24824458381911,-3.09003330163472,-0.868740218811371
"R1","T4",23,680,-4.31996098773005,-4.39205752020555,-4.24864008463082,-0.868740218811371
"R1","T4",23,1500,-3.99642916666144,-4.06436523214869,-3.92885906446184,-0.868740218811371
"R1","T4",23,2900,-3.44405776483698,-3.51825974153361,-3.37172965387906,-0.868740218811371
"R1","T4",23,3200,-3.32569246444603,-3.40356239837194,-3.25054196951943,-0.868740218811371
"R1","T4",28,680,-4.43248890453839,-4.50610693878443,-4.35962347053372,-0.868740218811371
"R1","T4",28,1500,-4.10895708346978,-4.17942855897226,-4.04038862018484,-0.868740218811371
"R1","T4",28,2900,-3.55658568164532,-3.63307031779753,-3.48260581680944,-0.868740218811371
"R1","T4",28,3200,-3.43822038125437,-3.51781473124542,-3.36105175309841,-0.868740218811371
"R1","T4",32,680,-4.52251123798507,-4.59899451294341,-4.44603055010599,-0.868740218811371
"R1","T4",32,1500,-4.19897941691645,-4.27354456020599,-4.12602817403289,-0.868740218811371
"R1","T4",32,2900,-3.64660801509199,-3.72704969290208,-3.56867737853537,-0.868740218811371
"R1","T4",32,3200,-3.52824271470104,-3.61208289750772,-3.4470993719817,-0.868740218811371
"R2","T1",16,680,-4.84909046357719,-4.88656016391984,-4.81190136611429,-0.868740218811371
"R2","T1",16,1500,-4.52555864250858,-4.55692048667113,-4.49432335165494,-0.868740218811371
"R2","T1",16,2900,-3.97318724068412,-4.01950827069471,-3.92749254656747,-0.868740218811371
"R2","T1",16,3200,-3.85482194029316,-3.90672234898573,-3.80366999738997,-0.868740218811371
"R2","T1",23,680,-5.00662954710886,-5.03420622924164,-4.97952203749668,-0.868740218811371
"R2","T1",23,1500,-4.68309772604025,-4.70206011372704,-4.66403306932814,-0.868740218811371
