"Texture_Cluster","Order_Cluster","MAT","MAP","mean_lp","lcl_lp","ucl_lp","mean_sigma"
"T2","Or3",10,400,-3.80480994668667,-3.82845255357536,-3.780791051521,-0.827544773297198
"T2","Or3",10,1100,-3.77840476134733,-3.79616682293899,-3.76057568359566,-0.827544773297198
"T2","Or3",10,1800,-3.75199957600798,-3.77139005447847,-3.73220910827532,-0.827544773297198
"T2","Or3",18,400,-3.95059115602098,-3.96754760746157,-3.93400009945227,-0.827544773297198
"T2","Or3",18,1100,-3.92418597068164,-3.93306765735457,-3.91517886173691,-0.827544773297198
"T2","Or3",18,1800,-3.8977807853423,-3.91181976739768,-3.88330166397217,-0.827544773297198
"T2","Or3",29,400,-4.15104031885566,-4.17442118910283,-4.12807714928126,-0.827544773297198
"T2","Or3",29,1100,-4.12463513351631,-4.14514911110766,-4.10458207107084,-0.827544773297198
"T2","Or3",29,1800,-4.09822994817697,-4.12339621314394,-4.07390295342728,-0.827544773297198
"T2","Or4",10,400,-3.81708266723103,-3.84274690811765,-3.79146598009098,-0.827544773297198
"T2","Or4",10,1100,-3.79067748189168,-3.81191642190706,-3.76898572697297,-0.827544773297198
"T2","Or4",10,1800,-3.76427229655234,-3.78938598613466,-3.74008888982312,-0.827544773297198
"T2","Or4",18,400,-3.96286387656534,-3.98293067284055,-3.94329698457379,-0.827544773297198
"T2","Or4",18,1100,-3.936458691226,-3.95284481813347,-3.92057250008537,-0.827544773297198
"T2","Or4",18,1800,-3.91005350588665,-3.93121238207583,-3.88881311242196,-0.827544773297198
"T2","Or4",29,400,-4.16331303940001,-4.18913522624092,-4.13749215833993,-0.827544773297198
"T2","Or4",29,1100,-4.13690785406067,-4.1616724456376,-4.11218745247467,-0.827544773297198
"T2","Or4",29,1800,-4.11050266872133,-4.13997319261283,-4.08073011494154,-0.827544773297198
"T2","Or5",10,400,-4.2750305195682,-4.43706835334582,-4.10757310282836,-0.827544773297198
"T2","Or5",10,1100,-4.24862533422886,-4.41004794388107,-4.08012489757576,-0.827544773297198
"T2","Or5",10,1800,-4.22222014888951,-4.38633166171375,-4.05396845558174,-0.827544773297198
"T2","Or5",18,400,-4.42081172890251,-4.58165078951787,-4.25392989544586,-0.827544773297198
"T2","Or5",18,1100,-4.39440654356317,-4.55546122228397,-4.22851292482481,-0.827544773297198
"T2","Or5",18,1800,-4.36800135822382,-4.53070919310515,-4.19914173578968,-0.827544773297198
"T2","Or5",29,400,-4.62126089173718,-4.78295179539603,-4.45399304911777,-0.827544773297198
"T2","Or5",29,1100,-4.59485570639784,-4.75771754024695,-4.42681079430373,-0.827544773297198
"T2","Or5",29,1800,-4.5684505210585,-4.73372289406552,-4.3990313049906,-0.827544773297198
"T3","Or2",10,400,-3.19553035344288,-3.241649507853,-3.14996150670391,-0.827544773297198
"T3","Or2",10,1100,-3.16912516810353,-3.21130080374332,-3.1270552419194,-0.827544773297198
"T3","Or2",10,1800,-3.14271998276419,-3.18442432138933,-3.10134647770776,-0.827544773297198
"T3","Or2",18,400,-3.34131156277719,-3.38612131654471,-3.29734605702612,-0.827544773297198
"T3","Or2",18,1100,-3.31490637743784,-3.35541823517535,-3.274078317915,-0.827544773297198
"T3","Or2",18,1800,-3.2885011920985,-3.32979248528869,-3.24733250450865,-0.827544773297198
"T3","Or2",29,400,-3.54176072561186,-3.59099249019328,-3.49319201997322,-0.827544773297198
"T3","Or2",29,1100,-3.51535554027252,-3.56143390854774,-3.46897024092932,-0.827544773297198
"T3","Or2",29,1800,-3.48895035493318,-3.53612412907049,-3.44168133185738,-0.827544773297198
